title                             | id                          | version         | screensaver-title        | package-size | billing-state | bs-libraries-provided | bs-libraries-required   | build-version | bytecode-version | dev-id                                   | dial-title         | expire-date | has-background-task | has-bs-library | has-homescreen-items | has-list-grid-ui | has-remote-sound | has-rsg-components | has-screensaver | has-screensaver-settings | has-theme | has-ui | is-bytecode-package | is-compiled | is-hidden | is-instant-on | is-mounted | is-ndk | is-paid-for | is-rsg-app | is-rsg-component-library | is-server-managed | is-static | is-subscription | is-titan-app | last-exit-code       | location           | major-version | minor-version | package-checksum                                                 | package-format | payment-schedule | renewal-date | rsg-component-libraries-required | sync-scope | ui-resolutions
ACR Lib Channel                   | 98832                       | 2.5.27          |                          | 962560       | Valid         | roku_acr_lib          | roku_ads_lib            | 27            |                  | 70f361a07a4500a6316587098596f452fe5943ff |                    |             | false               | true           | false                | false            | false            | true               | false           | false                    | false     | true   | false               | true        | true      | false         | true       | false  | true        | true       | false                    | true              | false     | false           | false        | EXIT_UNKNOWN         | nvram-and-unloaded | 2             | 5             | 438a466255f79f1afefe30d9fc48218715422b4c16bada0cc78f4a90da4225dd | zip            | None             |              | roku_grandcentral                | public     | hd,fhd        
Apple TV - Development            | 550707                      | 8.1.70          |                          | 6527904      | Valid         |                       | roku_ads_lib            | 70            |                  |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | false               | false       | false     | true          | false      | true   | true        | false      | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 8             | 1             | 3d010ed8e6e16848b37f783355306b73f0d5588a                         | n/a            | None             |              |                                  | public     | fhd           
Aquatic Life                      | 261525                      | 13.0.90000011   | Aquatic Life             | 16343040     | Valid         |                       |                         | 090000011     |                  | a7dec7e2a2ff21c941860c06aacb30868a65f58f |                    |             | false               | false          | false                | false            | false            | false              | true            | false                    | false     | false  | false               | false       | true      | false         | false      | true   | true        |            | false                    | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 13            | 0             | e7f64e96b6343264d8bcde952fb856aeb0c469da8eeb8fe9ca11677aab3205b1 | squashfs-zlib  | None             |              |                                  | public     |               
Bluetooth Audio                   | 236407                      | 1.9.14          |                          | 756832       | Valid         |                       |                         | 14            |                  |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | false               | false       | false     | false         | false      | false  | true        | false      | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 1             | 9             | 205da098520974f719804adea454e1eb5852a070                         | n/a            | None             |              |                                  | public     | sd,hd         
CBS                               | 619667                      | 6.4.202201192   |                          | 2325408      | Valid         |                       | googleima3,roku_ads_lib | 202201192     |                  |                                          | CBS                |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | false               | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 6             | 4             | 84b26f97a458711f7e7cae8941fd8bdb91ef3eda                         | n/a            | None             |              | roku_analytics                   | public     | fhd           
CBS News                          | 27536                       | 5.13.2          |                          | 1651296      | Valid         |                       | googleima3,roku_ads_lib | 2             | 17               |                                          | com.cbs.news       |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | false      | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 5             | 13            | 638adaf5e42fde473f9c1d1a22bd9dc9b4482ecd                         | n/a            | None             |              |                                  | public     | sd,hd,fhd     
City Stroll: Movie Magic          | 55545                       | 3.0.45          | City Stroll: Movie Magic | 2367488      | Valid         |                       |                         | 45            |                  | a7dec7e2a2ff21c941860c06aacb30868a65f58f |                    |             | false               | false          | false                | false            | false            | false              | true            | false                    | false     | false  | false               | false       | true      | false         | false      | false  | true        |            | false                    | true              | false     | false           |              | EXIT_UNKNOWN         | nvram-and-unloaded | 3             | 0             | 92edba285b98bb8ec9c42c5483a74f952be8edbeef8224ad8e6932ae46479daa | cramfs         | None             |              |                                  | public     |               
Crackle                           | 2016                        | 6.11.13         |                          | 1628656      | Valid         |                       | roku_ads_lib            | 13            | 15               |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | false      | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 6             | 11            | adeffdcdf90b89a88542fb439d3b81551ee70464                         | n/a            | None             |              |                                  | public     | hd,fhd        
DFP Ad Service                    | 54383                       | 2.1.69          |                          | 53248        | Valid         |                       |                         | 69            |                  | d1a71a41e1aa327c909a6f31ac24fc26e86fce3f |                    |             | false               | false          | false                | false            | false            | false              | false           | false                    | false     | true   | false               | true        | true      | false         | true       | false  | true        | false      | false                    | true              | false     | false           | false        | EXIT_UNKNOWN         | nvram-and-unloaded | 2             | 1             | 112c7083ac906c66e012b79f77e6b11d4ecfa71037cd0156c320ddd8a0b8116d | zip            | None             |              |                                  | public     | sd,hd         
DIRECTV STREAM                    | 140474                      | 3.27.3030101    |                          | 3013536      | Valid         |                       | roku_ads_lib            | 3030101       | 17               |                                          |                    |             | false               | false          | false                | false            | false            | false              | false           |                          | false     | true   | true                | false       | false     | false         | false      | false  | true        | true       | false                    | false             | false     | false           | false        | EXIT_UNKNOWN         | unloaded           | 3             | 27            | 4e0ab7c1c654b8492b1a900d70561ae211e17737                         | n/a            | None             |              | roku_analytics                   | public     | fhd           
